,Condition,RR,FCR corrected 99% CI lo,FCR corrected 99% CI up
0,Accidental falls$F$0-10,0.986883523939999,0.9417781878695284,1.0333917299360795
1,Accidental falls$F$11-20,1.0467193784799382,0.9911515640961662,1.1043888118786096
2,Accidental falls$F$21-40,1.077995732338605,1.0097811523445326,1.1493694479575438
3,Accidental falls$F$41-60,1.0448887434900431,0.9969473617189393,1.0943876710818232
4,Accidental falls$F$61-,1.0109712895060086,0.9817219788597459,1.0407997458329803
5,Accidental falls$M$0-10,0.9982624342929358,0.9570525891062751,1.040635636020867
6,Accidental falls$M$11-20,0.9819406445914468,0.938032635637901,1.02717949845066
7,Accidental falls$M$21-40,1.0254844629658562,0.967714558130822,1.0855446207407575
8,Accidental falls$M$41-60,1.0529265256731202,0.990104090825694,1.1184432798627937
9,Accidental falls$M$61-,1.020951576513181,0.9793292640543999,1.0637525184451062
10,"Accidental poisoning by drugs, medicinal substances, and biologicals$F$0-10",0.924610233232851,0.7048949220335288,1.1831078726333075
11,"Accidental poisoning by drugs, medicinal substances, and biologicals$M$0-10",0.9098518955547736,0.70582434959615,1.147106433270098
12,"Accidents caused by submersion, suffocation, and foreign bodies$F$0-10",0.9424197303691211,0.8062219578524268,1.0924915317533208
13,"Accidents caused by submersion, suffocation, and foreign bodies$F$21-40",1.0394605057236137,0.8190071291627719,1.2972573848963933
14,"Accidents caused by submersion, suffocation, and foreign bodies$F$41-60",0.9173125032070626,0.7356402405928599,1.124808733687806
15,"Accidents caused by submersion, suffocation, and foreign bodies$M$0-10",0.9870189555176677,0.8570813520467429,1.1293199584645928
16,"Accidents caused by submersion, suffocation, and foreign bodies$M$11-20",1.0918828137065384,0.850708014807699,1.3775891046855653
17,"Accidents caused by submersion, suffocation, and foreign bodies$M$21-40",0.9477329080409361,0.8047731702925136,1.1060225593130928
18,"Accidents caused by submersion, suffocation, and foreign bodies$M$41-60",1.0463964845176768,0.902324349979285,1.2055064175987849
19,"Accidents caused by submersion, suffocation, and foreign bodies$M$61-",0.970020353107651,0.7439698811293652,1.236629824059651
20,Accidents due to natural and environmental factors$F$0-10,1.0704070790639104,0.9530678396563921,1.1974459126891481
21,Accidents due to natural and environmental factors$F$11-20,0.9957158986172169,0.8727320924284339,1.1296886215544166
22,Accidents due to natural and environmental factors$F$21-40,0.9770746293944261,0.892476996942361,1.0667619541888977
23,Accidents due to natural and environmental factors$F$41-60,0.92417928302514,0.8466528433390828,1.006042946872294
24,Accidents due to natural and environmental factors$F$61-,1.0061442848402153,0.9053998799519518,1.1141196830197684
25,Accidents due to natural and environmental factors$M$0-10,0.9766243989304448,0.8775787040647381,1.0827232510610258
26,Accidents due to natural and environmental factors$M$11-20,0.9064199596289795,0.7939928104619531,1.0282631842855057
27,Accidents due to natural and environmental factors$M$21-40,1.0036993895735953,0.9094168518367265,1.1042870044285544
28,Accidents due to natural and environmental factors$M$41-60,1.0307328698153377,0.950442925724878,1.1155110571713212
29,Accidents due to natural and environmental factors$M$61-,1.116829969949403,0.9865691406516514,1.2589622531620202
30,"Drugs, medicinal and biological substances causing adverse effects in therapeutic use$F$0-10",0.8494940627110114,0.6613418004255933,1.0662304558907587
31,"Drugs, medicinal and biological substances causing adverse effects in therapeutic use$F$11-20",0.8713014626087823,0.7073141325532148,1.0564116106365942
32,"Drugs, medicinal and biological substances causing adverse effects in therapeutic use$F$21-40",0.944338305693383,0.8550574932979775,1.0393742159411967
33,"Drugs, medicinal and biological substances causing adverse effects in therapeutic use$F$41-60",0.9918339162298306,0.9337300886096593,1.0522839922572838
34,"Drugs, medicinal and biological substances causing adverse effects in therapeutic use$F$61-",1.0114481287491792,0.9454352203871758,1.0804855630362191
35,"Drugs, medicinal and biological substances causing adverse effects in therapeutic use$M$0-10",1.0105770562622143,0.8172223756495307,1.23238123848646
36,"Drugs, medicinal and biological substances causing adverse effects in therapeutic use$M$11-20",0.9310514986238484,0.7345239593093071,1.1579822113122855
37,"Drugs, medicinal and biological substances causing adverse effects in therapeutic use$M$21-40",0.9828139110711841,0.8597559131968766,1.1169206920107553
38,"Drugs, medicinal and biological substances causing adverse effects in therapeutic use$M$41-60",1.0168055668016314,0.9493826765483361,1.0873806152338168
39,"Drugs, medicinal and biological substances causing adverse effects in therapeutic use$M$61-",1.0065364332577977,0.9332616156811933,1.083563555410534
40,Injury purposely inflicted by other persons$F$11-20,1.0632140010973663,0.8902470558688309,1.258178542249822
41,Injury purposely inflicted by other persons$F$21-40,1.1307534755609467,0.977001396511294,1.3012264588023728
42,Injury purposely inflicted by other persons$F$41-60,1.069850794948416,0.8668776904111349,1.3037288701863714
43,Injury purposely inflicted by other persons$M$11-20,1.3325634921735658,1.1424200553752688,1.547174700201543
44,Injury purposely inflicted by other persons$M$21-40,1.2576873816107739,1.0929038170849195,1.440989182976083
45,Injury purposely inflicted by other persons$M$41-60,1.16864412097857,0.9717326570198431,1.393478856130526
46,Injury undetermined whether accidentally or purposely inflicted$F$0-10,0.942179635286933,0.6995681352596964,1.2326266391878273
47,Injury undetermined whether accidentally or purposely inflicted$F$11-20,1.040310671111915,0.8724667178945283,1.2289645311040536
48,Injury undetermined whether accidentally or purposely inflicted$F$21-40,1.0347623626630613,0.8716852467797408,1.2174449749596692
49,Injury undetermined whether accidentally or purposely inflicted$F$41-60,1.0367351748079956,0.8912728186339671,1.1975968231030314
50,Injury undetermined whether accidentally or purposely inflicted$F$61-,1.15927336366135,0.9603860534888993,1.3867879606122804
51,Injury undetermined whether accidentally or purposely inflicted$M$0-10,1.0102060620152318,0.789038686514746,1.2694169562512225
52,Injury undetermined whether accidentally or purposely inflicted$M$11-20,1.1425806366597806,0.9820906847581371,1.321307603421
53,Injury undetermined whether accidentally or purposely inflicted$M$21-40,1.018126270903492,0.8676875778293383,1.1851956956226863
54,Injury undetermined whether accidentally or purposely inflicted$M$41-60,1.02118114081041,0.868984633884534,1.1904148429657821
55,Injury undetermined whether accidentally or purposely inflicted$M$61-,0.9025868351424411,0.710781398521275,1.1235788655620964
56,Late effects of accidental injury$F$41-60,0.943624591997324,0.7236944559524937,1.202158400803624
57,Late effects of accidental injury$F$61-,0.9856136169642183,0.700479660459278,1.3380381585575316
58,Late effects of accidental injury$M$21-40,1.1577988008181763,0.8618025566535287,1.521967624355296
59,Late effects of accidental injury$M$41-60,1.0417650771982294,0.8041050254969335,1.323399417465444
60,Motor vehicle nontraffic accidents$F$21-40,1.0745875677971748,0.8084558465382382,1.3963412415341416
61,Motor vehicle nontraffic accidents$F$41-60,0.8783787582850825,0.6466536962210503,1.154530046003096
62,Motor vehicle nontraffic accidents$M$11-20,1.0420918771914154,0.8793875978131881,1.2242624765608854
63,Motor vehicle nontraffic accidents$M$21-40,0.997204425482374,0.8458328457707718,1.165554698832317
64,Motor vehicle nontraffic accidents$M$41-60,0.9063423815398012,0.750988974066113,1.0802740598798994
65,Motor vehicle traffic accidents$F$0-10,0.9951838601060898,0.8533610835844916,1.151821809058892
66,Motor vehicle traffic accidents$F$11-20,1.0190110121794533,0.9481096891866052,1.0934031553410368
67,Motor vehicle traffic accidents$F$21-40,1.0186613922108796,0.9687937275011478,1.070230455672087
68,Motor vehicle traffic accidents$F$41-60,1.0142170960450854,0.9616900581899316,1.068639507529889
69,Motor vehicle traffic accidents$F$61-,1.0193687560053548,0.9194713553612306,1.1263393492572085
70,Motor vehicle traffic accidents$M$0-10,0.9590676827315866,0.8216934406626013,1.110483159962059
71,Motor vehicle traffic accidents$M$11-20,1.0804700388244404,0.9806017633568526,1.1872555472490893
72,Motor vehicle traffic accidents$M$21-40,0.9843816712618585,0.9298653060002733,1.0409620426542718
73,Motor vehicle traffic accidents$M$41-60,1.0075662238413552,0.9506732061128069,1.0666944542076142
74,Motor vehicle traffic accidents$M$61-,1.0772681760953393,0.9633767455750848,1.2002567025184832
75,Other accidents$F$0-10,0.9862058348418724,0.933792240911527,1.040523725304381
76,Other accidents$F$11-20,0.9706582178360317,0.9317817509747006,1.0105784932266646
77,Other accidents$F$21-40,1.0210083459259132,0.9811254953845966,1.06197122195541
78,Other accidents$F$41-60,0.9769278099056745,0.9404317981693722,1.0143404558688631
79,Other accidents$F$61-,0.9808746134426318,0.9220372376216427,1.0421282872462994
80,Other accidents$M$0-10,1.034379422556073,0.9898722277740041,1.0802300377534375
81,Other accidents$M$11-20,0.9662036354025403,0.9296296618858344,1.0037013043099288
82,Other accidents$M$21-40,1.0236537502766818,0.9894925605983574,1.0586034928098107
83,Other accidents$M$41-60,1.0166576863964838,0.9807525476964379,1.0534376561283676
84,Other accidents$M$61-,1.0228961184456422,0.9614455576957569,1.0869490879620871
85,Other road vehicle accidents$F$0-10,0.8808684366047586,0.6656028040268853,1.133917645034985
86,Other road vehicle accidents$F$11-20,0.794835094046646,0.5764848227104258,1.053570292406433
87,Other road vehicle accidents$F$21-40,0.8308849869042778,0.6507233619506488,1.0372753238312005
88,Other road vehicle accidents$F$41-60,0.8996248925467737,0.7467775404230346,1.0704680522714338
89,Other road vehicle accidents$M$0-10,0.8271335087775529,0.6537681761772147,1.0247085592123681
90,Other road vehicle accidents$M$11-20,1.0785079627071088,0.9225025826243001,1.2520870255404568
91,Other road vehicle accidents$M$21-40,1.0501997801886385,0.8731542085950599,1.250457654561958
92,Other road vehicle accidents$M$41-60,1.1177387534192935,0.948948936688911,1.3070045544540472
93,Self-inflicted injury$F$11-20,0.8810945569684796,0.7569875495213488,1.016889056166447
94,Self-inflicted injury$F$21-40,0.9099092094311296,0.7678124650918493,1.0673604380369945
95,Self-inflicted injury$F$41-60,0.8813372897182601,0.7285048749536911,1.0522914183711791
96,Self-inflicted injury$M$11-20,0.8355118103502359,0.6679708652864804,1.0254794790222224
97,Self-inflicted injury$M$21-40,1.308583734053371,1.0134955860257415,1.6676319157852428
98,Self-inflicted injury$M$41-60,1.0709448054889037,0.8413447243235269,1.3408757421631945
99,"Surgical and medical procedures as the cause of abnormal reaction of patient or later complication, without mention of misadventure at the time of procedure$F$21-40",0.9498580839248404,0.8138208487662623,1.099695197297228
100,"Surgical and medical procedures as the cause of abnormal reaction of patient or later complication, without mention of misadventure at the time of procedure$F$41-60",0.9569479827320494,0.8589894638033855,1.061851700807098
101,"Surgical and medical procedures as the cause of abnormal reaction of patient or later complication, without mention of misadventure at the time of procedure$F$61-",0.9062734459153424,0.7903382276498456,1.0322523291281185
102,"Surgical and medical procedures as the cause of abnormal reaction of patient or later complication, without mention of misadventure at the time of procedure$M$0-10",0.8236126183006165,0.5943939970106366,1.097192945703216
103,"Surgical and medical procedures as the cause of abnormal reaction of patient or later complication, without mention of misadventure at the time of procedure$M$21-40",0.9865701345326818,0.7900536379868828,1.2128154401395776
104,"Surgical and medical procedures as the cause of abnormal reaction of patient or later complication, without mention of misadventure at the time of procedure$M$41-60",0.9938079544572651,0.8777614708403705,1.1195986695363414
105,"Surgical and medical procedures as the cause of abnormal reaction of patient or later complication, without mention of misadventure at the time of procedure$M$61-",0.990850008445382,0.8811354034340935,1.1092468915751923
106,"Vehicle accidents, not elsewhere classifiable$F$0-10",0.9836766800186906,0.932094838258956,1.0371034236056353
107,"Vehicle accidents, not elsewhere classifiable$F$11-20",1.0091582775491836,0.9619487400086261,1.057895524742042
108,"Vehicle accidents, not elsewhere classifiable$F$21-40",1.048898425317397,0.9877221722026683,1.1126285539498446
109,"Vehicle accidents, not elsewhere classifiable$F$41-60",1.0043933329373187,0.963070009030151,1.0468846405694119
110,"Vehicle accidents, not elsewhere classifiable$F$61-",1.04357473586525,0.9900426054412891,1.099057276371567
111,"Vehicle accidents, not elsewhere classifiable$M$0-10",1.0084740436318032,0.9630518229831502,1.0553087952219413
112,"Vehicle accidents, not elsewhere classifiable$M$11-20",0.9912676766118244,0.9555298931719866,1.0278793600452372
113,"Vehicle accidents, not elsewhere classifiable$M$21-40",1.0062448329016647,0.9631961259196034,1.0505608309355574
114,"Vehicle accidents, not elsewhere classifiable$M$41-60",1.028757173172823,0.9835187589070801,1.075387442696159
115,"Vehicle accidents, not elsewhere classifiable$M$61-",1.0061691771837475,0.9420981395236276,1.0730908765865286
